,Rk,Team,G,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
455,18.0,San Antonio Spurs*,82,19805,2923,6450,0.45299999999999996,507,1395,0.363,2416,5055,0.478,1535,2120,0.7240000000000001,987,2489,3476,1771,613,543,1126,1717,7888,96.2
456,19.0,Los Angeles Clippers,82,20030,2924,6368,0.45899999999999996,231,669,0.345,2693,5699,0.473,1770,2274,0.778,980,2455,3435,1901,599,422,1290,1819,7849,95.7
457,20.0,Houston Rockets*,82,19855,2846,6419,0.44299999999999995,553,1521,0.364,2293,4898,0.46799999999999997,1551,1986,0.7809999999999999,874,2601,3475,1733,563,378,1135,1807,7796,95.1
458,21.0,Chicago Bulls*,82,19830,2849,6592,0.43200000000000005,511,1433,0.35700000000000004,2338,5159,0.45299999999999996,1536,2048,0.75,1001,2591,3592,1743,576,369,1371,2028,7745,94.5
459,22.0,Charlotte Bobcats,82,19880,2961,6859,0.43200000000000005,320,881,0.363,2641,5978,0.442,1487,2096,0.7090000000000001,1083,2335,3418,1794,695,440,1192,1894,7729,94.3
460,23.0,Memphis Grizzlies*,82,19705,2802,6271,0.447,531,1486,0.35700000000000004,2271,4785,0.475,1526,2024,0.754,887,2307,3194,1716,699,476,1197,1910,7661,93.4
461,24.0,Detroit Pistons*,82,19955,2851,6421,0.444,363,1053,0.345,2488,5368,0.46299999999999997,1588,2150,0.7390000000000001,1054,2507,3561,1787,576,497,1133,1638,7653,93.3
462,25.0,Indiana Pacers*,82,19905,2668,6169,0.43200000000000005,542,1575,0.344,2126,4594,0.46299999999999997,1748,2206,0.792,868,2418,3286,1489,615,357,1173,1890,7626,93.0
463,26.0,Utah Jazz,82,19780,2828,6301,0.449,250,762,0.32799999999999996,2578,5539,0.465,1719,2272,0.757,1047,2243,3290,1826,541,374,1292,2189,7625,93.0
464,27.0,Portland Trail Blazers,82,19730,2896,6422,0.451,420,1161,0.36200000000000004,2476,5261,0.47100000000000003,1409,1944,0.725,970,2404,3374,1722,583,544,1308,1703,7621,92.9
465,28.0,Atlanta Hawks,82,19855,2942,6672,0.441,304,973,0.312,2638,5699,0.46299999999999997,1417,1994,0.711,1100,2335,3435,1614,629,344,1319,2009,7605,92.7
466,29.0,New Jersey Nets*,82,19905,2753,6419,0.429,435,1203,0.36200000000000004,2318,5216,0.444,1555,2039,0.763,855,2387,3242,1772,650,308,1164,1985,7496,91.4
467,30.0,New Orleans Hornets,82,19930,2718,6556,0.415,415,1316,0.315,2303,5240,0.44,1401,1830,0.7659999999999999,1019,2281,3300,1724,550,310,1217,1883,7252,88.4
468,,League Average,82,19833,2948,6588,0.447,459,1292,0.35600000000000004,2489,5296,0.47,1615,2137,0.7559999999999999,985,2448,3432,1745,616,399,1189,1856,7970,97.2
469,1.0,Phoenix Suns*,82,19955,3430,7167,0.479,837,2097,0.39899999999999997,2593,5070,0.511,1189,1475,0.8059999999999999,778,2650,3428,2179,549,412,1088,1683,8886,108.4
470,2.0,Seattle SuperSonics,82,19830,3077,6711,0.45899999999999996,605,1631,0.371,2472,5080,0.48700000000000004,1652,2104,0.785,1013,2233,3246,1696,622,306,1208,1933,8411,102.6
471,3.0,Washington Wizards*,82,19830,2975,6656,0.447,497,1394,0.35700000000000004,2478,5262,0.47100000000000003,1889,2496,0.757,1035,2344,3379,1523,658,339,1143,1855,8336,101.7
472,4.0,Toronto Raptors,82,19955,3013,6639,0.45399999999999996,608,1620,0.375,2405,5019,0.479,1653,2089,0.7909999999999999,864,2291,3155,1593,529,272,1071,1965,8287,101.1
473,5.0,Denver Nuggets*,82,19930,3078,6672,0.461,350,1076,0.325,2728,5596,0.48700000000000004,1721,2312,0.7440000000000001,903,2486,3389,1921,698,463,1216,1863,8227,100.3
474,6.0,Miami Heat*,82,19755,3039,6355,0.478,497,1441,0.345,2542,4914,0.517,1616,2310,0.7,858,2675,3533,1692,522,442,1186,1871,8191,99.9
475,7.0,Philadelphia 76ers,82,19905,3001,6546,0.45799999999999996,375,1031,0.364,2626,5515,0.47600000000000003,1770,2330,0.76,873,2425,3298,1653,651,404,1159,1712,8147,99.4
476,8.0,Los Angeles Lakers*,82,19855,2992,6607,0.45299999999999996,552,1583,0.349,2440,5024,0.486,1618,2172,0.745,970,2488,3458,1734,628,350,1143,1894,8154,99.4
477,9.0,Dallas Mavericks*,82,19880,2948,6375,0.462,416,1113,0.374,2532,5262,0.48100000000000004,1818,2322,0.7829999999999999,1030,2431,3461,1473,593,488,1112,1834,8130,99.1
478,10.0,Sacramento Kings*,82,19830,2954,6500,0.45399999999999996,494,1408,0.35100000000000003,2460,5092,0.483,1704,2173,0.784,852,2473,3325,1825,608,299,1199,1672,8106,98.9
479,11.0,Golden State Warriors,82,19830,2939,6785,0.433,625,1832,0.341,2314,4953,0.467,1573,2190,0.718,980,2485,3465,1694,604,357,1156,1941,8076,98.5
480,12.0,Boston Celtics,82,19880,2951,6322,0.467,467,1290,0.36200000000000004,2484,5032,0.494,1664,2204,0.755,813,2432,3245,1716,578,422,1359,2033,8033,98.0
481,13.0,Milwaukee Bucks*,82,19855,2976,6566,0.45299999999999996,507,1335,0.38,2469,5231,0.47200000000000003,1561,2115,0.738,929,2448,3377,1769,597,270,1197,1902,8020,97.8
482,14.0,Chicago Bulls*,82,19905,3004,6737,0.446,560,1477,0.379,2444,5260,0.465,1452,1967,0.738,906,2602,3508,1804,508,345,1224,2038,8020,97.8
483,15.0,Cleveland Cavaliers*,82,19830,2908,6412,0.45399999999999996,497,1465,0.33899999999999997,2411,4947,0.48700000000000004,1689,2318,0.7290000000000001,959,2511,3470,1560,567,392,1137,1733,8002,97.6
484,16.0,Atlanta Hawks,82,19880,2946,6496,0.45399999999999996,424,1154,0.36700000000000005,2522,5342,0.47200000000000003,1656,2207,0.75,1069,2232,3301,1625,587,394,1284,2054,7972,97.2
485,17.0,Los Angeles Clippers*,82,19805,2993,6443,0.465,290,843,0.344,2703,5600,0.483,1694,2142,0.7909999999999999,828,2704,3532,1708,534,503,1185,1872,7970,97.2
486,18.0,Charlotte Bobcats,82,19905,2961,6843,0.433,428,1261,0.33899999999999997,2533,5582,0.45399999999999996,1593,2186,0.7290000000000001,990,2270,3260,1717,822,354,1167,1960,7943,96.9
487,19.0,Detroit Pistons*,82,19830,2983,6558,0.455,557,1451,0.384,2426,5107,0.475,1418,1950,0.727,975,2347,3322,1971,580,490,931,1513,7941,96.8
488,20.0,New York Knicks,82,19930,2822,6206,0.455,320,884,0.36200000000000004,2502,5322,0.47,1878,2587,0.726,1034,2360,3394,1468,555,271,1449,2157,7842,95.6
489,21.0,San Antonio Spurs*,82,19805,2993,6342,0.47200000000000003,524,1362,0.385,2469,4980,0.496,1327,1891,0.7020000000000001,851,2548,3399,1717,543,467,1126,1714,7837,95.6
490,22.0,Orlando Magic,82,19905,2911,6167,0.47200000000000003,299,796,0.376,2612,5371,0.486,1663,2277,0.73,892,2402,3294,1495,532,362,1240,1908,7784,94.9
